"TimeStamp","InflectionType","Distance"
"13 Jan 2020 21:00 UT","Minimum",365935
"13 Jan 2020 22:00 UT","Minimum",365937
"13 Jan 2020 23:00 UT","Minimum",365941
"14 Jan 2020 00:00 UT","Minimum",365946
"14 Jan 2020 01:00 UT","Minimum",365954
"14 Jan 2020 02:00 UT","Minimum",365964
"14 Jan 2020 03:00 UT","Minimum",365975
"14 Jan 2020 04:00 UT","Minimum",365989
"14 Jan 2020 05:00 UT","Minimum",366004
"14 Jan 2020 06:00 UT","Minimum",366021
"14 Jan 2020 07:00 UT","Minimum",366040
"14 Jan 2020 08:00 UT","Minimum",366061
"14 Jan 2020 09:00 UT","Minimum",366084
"14 Jan 2020 10:00 UT","Minimum",366108
"14 Jan 2020 11:00 UT","Minimum",366134
"14 Jan 2020 12:00 UT","Minimum",366162
"14 Jan 2020 13:00 UT","Minimum",366192
"14 Jan 2020 14:00 UT","Minimum",366223
"14 Jan 2020 15:00 UT","Minimum",366256
"14 Jan 2020 16:00 UT","Minimum",366291
"14 Jan 2020 17:00 UT","Minimum",366328
"14 Jan 2020 18:00 UT","Minimum",366366
"14 Jan 2020 19:00 UT","Minimum",366406
"14 Jan 2020 20:00 UT","Minimum",366447
"14 Jan 2020 21:00 UT","Minimum",366490
"14 Jan 2020 22:00 UT","Minimum",366535
"14 Jan 2020 23:00 UT","Minimum",366581
"15 Jan 2020 00:00 UT","Minimum",366629
"15 Jan 2020 01:00 UT","Minimum",366678
"15 Jan 2020 02:00 UT","Minimum",366729
"15 Jan 2020 03:00 UT","Minimum",366782
"15 Jan 2020 04:00 UT","Minimum",366836
"15 Jan 2020 05:00 UT","Minimum",366891
"15 Jan 2020 06:00 UT","Minimum",366948
"15 Jan 2020 07:00 UT","Minimum",367006
"15 Jan 2020 08:00 UT","Minimum",367066
"15 Jan 2020 09:00 UT","Minimum",367127
"15 Jan 2020 10:00 UT","Minimum",367190
"15 Jan 2020 11:00 UT","Minimum",367254
"15 Jan 2020 12:00 UT","Minimum",367319
"15 Jan 2020 13:00 UT","Minimum",367386
"15 Jan 2020 14:00 UT","Minimum",367454
"15 Jan 2020 15:00 UT","Minimum",367523
"15 Jan 2020 16:00 UT","Minimum",367594
"15 Jan 2020 17:00 UT","Minimum",367666
"15 Jan 2020 18:00 UT","Minimum",367739
"15 Jan 2020 19:00 UT","Minimum",367813
